campaign_id,campaign_name,campaign_type,target_industry,budget,clicks,impressions,conversions,conversion_rate,status,launch_date
1,Retargeting 1,Retargeting,Retail,65505,11601,150000,1592,13.73,Completed,2026-01-05
2,Email Marketing 2,Email Marketing,Technology,58627,5092,150000,520,10.22,Completed,2026-04-29
3,Festival Offer 3,Festival Offer,E-commerce,60460,7641,150000,903,11.82,Completed,2026-04-04
4,Discount Campaign 4,Discount Campaign,Real Estate,71402,2663,150000,370,13.91,Completed,2026-03-27
5,Product Launch 5,Product Launch,E-commerce,75373,5042,150000,516,10.24,Paused,2026-03-22
6,Awareness Campaign 6,Awareness Campaign,Finance,26802,9871,150000,546,5.53,Completed,2026-04-19
7,Discount Campaign 7,Discount Campaign,Technology,48463,4265,123968,579,13.59,Completed,2026-04-18
8,Retargeting 8,Retargeting,E-commerce,72999,6458,150000,972,15.06,Paused,2026-04-21
9,Discount Campaign 9,Discount Campaign,Technology,94070,2526,150000,308,12.2,Paused,2026-02-07
10,Email Marketing 10,Email Marketing,Finance,59522,10464,150000,979,9.36,Completed,2026-03-22
11,Product Launch 11,Product Launch,Finance,49966,7606,150000,480,6.32,Paused,2026-02-06
12,Discount Campaign 12,Discount Campaign,E-commerce,96326,10246,150000,1147,11.2,Paused,2026-04-11
13,Email Marketing 13,Email Marketing,Technology,49967,13318,150000,1575,11.83,Completed,2026-04-23
14,Festival Offer 14,Festival Offer,Real Estate,27865,6703,135006,495,7.39,Paused,2026-03-19
15,Discount Campaign 15,Discount Campaign,E-commerce,29176,9590,136418,1263,13.17,Active,2026-05-02
16,Festival Offer 16,Festival Offer,Education,82621,5381,150000,538,10.01,Active,2026-04-22
17,Awareness Campaign 17,Awareness Campaign,Technology,13200,3054,71978,170,5.6,Paused,2026-03-17
18,Festival Offer 18,Festival Offer,Education,19936,6778,107702,717,10.59,Active,2026-05-26
19,Retargeting 19,Retargeting,Education,85125,7400,150000,987,13.34,Active,2026-02-20
20,Festival Offer 20,Festival Offer,Technology,93288,3203,150000,416,12.99,Completed,2026-05-18
21,Festival Offer 21,Festival Offer,Finance,20448,2383,93103,227,9.55,Active,2026-03-12
22,Discount Campaign 22,Discount Campaign,Education,83174,9399,150000,1142,12.15,Active,2026-02-21
23,Awareness Campaign 23,Awareness Campaign,E-commerce,27706,3498,90643,191,5.47,Paused,2026-03-25
24,Discount Campaign 24,Discount Campaign,Real Estate,12026,1840,62118,223,12.16,Completed,2026-03-13
25,Discount Campaign 25,Discount Campaign,Real Estate,71248,10239,150000,1282,12.53,Completed,2026-03-12
26,Discount Campaign 26,Discount Campaign,Education,26922,5536,150000,531,9.59,Active,2026-02-15
27,Product Launch 27,Product Launch,Healthcare,75465,10941,150000,1120,10.24,Active,2026-03-04
28,Discount Campaign 28,Discount Campaign,Real Estate,71952,11511,150000,1259,10.94,Active,2026-04-15
29,Product Launch 29,Product Launch,Real Estate,10453,1814,38696,129,7.12,Completed,2026-03-11
30,Awareness Campaign 30,Awareness Campaign,Technology,90678,7309,150000,620,8.49,Completed,2026-01-15
